"WY","Season","Alt","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","mean.area.km2","mean.depth.m","mean.STG","WRT.yr","mean.delta.min"
1965,"Summer","LCR1",175508163.344088,107599237.119779,3.35182132464884,1459.60379660971,2.29470901596341,12.26406075,21.3524997941457,0.772715437078148
1965,"Summer","NA25f",166525383.710519,127440041.190859,3.32217381093011,1454.85708301443,2.28194048315474,12.1975864881054,7.3458795434243,0.708738604057063
1965,"Summer","PA_FWOLL",168819264.023412,118325459.290612,3.30477840896578,1452.31274433019,2.27383704682806,12.1580044946237,20.9344709355153,0.673453286959506
1965,"Summer","PA25",166680528.437806,145071100.184801,3.38594816726994,1464.81179114586,2.31005436845863,12.3411827076266,6.2021774307681,0.84467693759963
1966,"Summer","LCR1",374409820.541551,86920413.496658,4.13328178841829,1620.6677953986,2.54055748052835,13.8971288709677,58.1822945215287,2.40344337261903
1966,"Summer","NA25f",360587862.869226,202544145.484978,4.20886746143291,1641.36635511371,2.55772761466617,14.0602514466506,2.57546160911384,2.56571558719817
1966,"Summer","PA_FWOLL",376104390.014833,97177895.0876733,4.18309520872405,1626.47874367198,2.56070725508564,13.9928549489247,55.9134573440134,2.49965323317281
1966,"Summer","PA25",370259067.885466,127120393.045287,4.57503377040157,1699.26342416538,2.68415396344431,14.7712985724245,6.02455400583554,3.27747191286228
1967,"Summer","LCR1",190243136.979069,94156226.0281393,3.23278129669416,1441.5676596173,2.24089553615443,11.9948162849462,16.2816731771255,0.516636146222614
1967,"Summer","NA25f",138485777.532178,90321444.9501242,3.13434271538791,1427.27455054652,2.19451209114848,11.7699599569592,16.9385543909858,0.346880220492601
1967,"Summer","PA_FWOLL",141358273.098244,97440122.4949648,3.12016664628969,1425.28529561569,2.18753362946904,11.7371219139785,17.1952372536088,0.328415265372196
1967,"Summer","PA25",136661546.596394,116618692.003477,3.33149521936916,1456.126523041,2.2866612432698,12.2193509636727,6.16042057427338,0.723373895784909
1968,"Summer","LCR1",494799904.034648,74366579.1621625,3.93691167826318,1592.88311112778,2.43958613690392,13.4225544247312,32.325876423524,2.09772368279966
1968,"Summer","NA25f",492828873.131663,133836129.781033,3.81434856649096,1575.9400380075,2.38646370001047,13.1641118068766,9.28504872994372,1.93668660992952
1968,"Summer","PA_FWOLL",498095588.695547,80151465.4251994,3.7993681047342,1571.27848514279,2.38038965143767,13.1210326021505,30.4286479394526,1.93301698062327
1968,"Summer","PA25",499510478.018478,27454180.1266223,3.94380412227566,1585.0848765074,2.44768062165666,13.4108501525477,15.259228056619,2.15689986042034
1969,"Summer","LCR1",248304863.454796,84344181.5713591,4.36767788438252,1698.18661264861,2.57101591106514,14.3952101586022,13.2746812311574,2.89714216871242
1969,"Summer","NA25f",236057017.754668,113987201.960748,3.87614769174968,1564.6913221017,2.47656048703094,13.4079916862208,3.59930840936474,1.90956254817849
1969,"Summer","PA_FWOLL",249026946.888994,102769017.28686,4.20659058085384,1658.32433585489,2.53571820064657,14.080384594086,6.7551517297834,2.58243776380665
1969,"Summer","PA25",227462036.117787,115364630.28028,5.07620201919729,1776.95040551649,2.85652330138171,15.7251988539239,3.92080327836046,4.22625897067713
1970,"Summer","LCR1",139463146.838837,135101010.967157,4.81750959548919,1763.13121943477,2.73214397636147,15.2459833252688,4.56263792715432,3.74617812463347
1970,"Summer","NA25f",138317234.116812,188731935.340631,4.77456834795474,1760.05860710669,2.71251143931827,15.1660225297628,7.38665986455434,3.66720294405686
1970,"Summer","PA_FWOLL",139794737.675065,164667999.227983,5.00609115396046,1774.2214792265,2.82144919247006,15.5957922983871,3.5497977792318,4.09579198292422
1970,"Summer","PA25",139891684.822371,154593117.679214,5.06292430185902,1776.71222151066,2.84950309304654,15.7008271825719,3.60580076068949,4.20096628597786
1971,"Summer","LCR1",128875804.919735,95002813.1373773,2.88121120361435,1391.66116465625,2.06936352280855,11.1820241424731,9.9508796329317,0.0234500572944479
