"proj","Alt","month","CY","WY","Date.monCY","Season","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","WRT.yr","mean.depth.m","mean.delta.min","mean.STG"
"LOCAR","ECB23L",5,1966,1966,1966-05-01,"Summer",169961379.493385,247313284.101525,4.13223880014568,1.39237661493392,2.51811288019274,2.4363469186202,13.9363469186202
"LOCAR","ECB23L",5,1970,1970,1970-05-01,"Summer",115705361.57917,305007364.841249,4.96253713633547,1.35585172370029,2.80114016308721,4.01490852204713,15.5149085220471
"LOCAR","ECB23L",5,1980,1980,1980-05-01,"Summer",114404890.382065,243032657.048176,4.77773717154433,1.63823565578035,2.71339059629213,3.6721243019824,15.1721243019824
"LOCAR","ECB23L",5,1967,1967,1967-05-01,"Summer",4747197.7621875,338163653.359033,3.37867081169878,0.832602493432275,2.30760599548592,0.825757332631231,12.3257573326312
"LOCAR","ECB23L",5,1977,1977,1977-05-01,"Summer",39097058.8806429,81204900.5489837,2.53449757468201,2.60092838973551,1.88784851443402,0,10.351901014054
"LOCAR","ECB23L",5,1974,1974,1974-05-01,"Summer",16651142.4680731,125301054.717983,2.07027832455389,1.37686944536201,1.64285703852685,0,9.18403467603132
"LOCAR","ECB23L",5,1973,1973,1973-05-01,"Summer",143596137.011153,124256882.715221,2.40210346955842,1.61097948665461,1.81399527353259,0,10.026232263182
"LOCAR","ECB23L",5,1983,1983,1983-05-01,"Summer",187128545.096995,408621226.480414,5.02171101999385,1.0241169357189,2.83018817783569,4.12431270657213,15.6243127065721
"LOCAR","ECB23L",5,1971,1971,1971-05-01,"Summer",18824631.5674866,264777093.480002,2.81661157663525,0.886472573217512,2.03666392786722,0,11.0304464526759
"LOCAR","ECB23L",5,1981,1981,1981-05-01,"Summer",955468.793861829,169236399.46204,2.4667814509456,1.21466257593268,1.84952814775374,0,10.1844391499091
"LOCAR","ECB23L",5,1991,1991,1991-05-01,"Summer",234752774.767004,87966614.7368749,3.1996934637216,3.03116270615136,2.22757427579055,0.422952734267841,11.9229527342678
"LOCAR","ECB23L",5,1968,1968,1968-05-01,"Summer",58697029.3363073,38698415.3193222,2.62074312065788,5.6435194633352,1.93442734148647,0,10.5617262077109
"LOCAR","ECB23L",5,1978,1978,1978-05-01,"Summer",122870503.628409,105083239.909386,3.32322289604341,2.63538925499207,2.28560834577512,0.703580582114051,12.2035805821141
"LOCAR","ECB23L",5,1988,1988,1988-05-01,"Summer",154912637.809092,325820815.156369,3.98750295786564,1.01986091034729,2.49796760888513,2.14186951294503,13.641869512945
"LOCAR","ECB23L",5,1975,1975,1975-05-01,"Summer",67176257.8753688,142199694.893157,2.99221061081083,1.75352615504266,2.12636568213986,0.0197202697066831,11.4442865969075
"LOCAR","ECB23L",5,1985,1985,1985-05-01,"Summer",16199708.0164167,202708300.062906,3.74815652800392,1.5408662459146,2.44641702843272,1.63850522766743,13.1385052276674
"LOCAR","ECB23L",5,1984,1984,1984-05-01,"Summer",196398689.523664,168001513.822132,5.1839656870622,2.57138838073736,2.91040047262527,4.4241264882027,15.9241264882027
"LOCAR","ECB23L",5,1994,1994,1994-05-01,"Summer",96643676.3992868,212083834.985292,4.30301239923848,1.69076708098981,2.54889622536188,2.77261045215271,14.2726104521527
"LOCAR","ECB23L",5,1972,1972,1972-05-01,"Summer",108495359.823563,46317397.049396,2.84627768425047,5.12096581696759,2.05225499359494,0,11.1014919901402
"LOCAR","ECB23L",5,1982,1982,1982-05-01,"Summer",210744846.765885,72264495.8609579,2.32728019586069,2.6837524293379,1.7712910353161,0,9.83938387732194
"LOCAR","ECB23L",5,1992,1992,1992-05-01,"Summer",96736926.6240508,393006447.749539,3.72846207171152,0.790585432940879,2.43971680265861,1.59560969512733,13.0956096951273
"LOCAR","ECB23L",5,2002,2002,2002-05-01,"Summer",6898450.09341261,225124531.634853,2.80090624509608,1.03679884223631,2.02796380921766,0.0120861245863279,10.991646366186
